sample_name,timestamp,time_iso,split,block,thread1_alarm,thread2_fault,fault_class_primary,thread3_agent,thread4_skill,skill_names,trigger_words,severity_score,rcf_score
SHIP500-B00-T00016,1765814860.032745,2025-12-15 16:07:40,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4457
SHIP500-B00-T00017,1765814872.2410038,2025-12-15 16:07:52,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4546
SHIP500-B00-T00018,1765814884.3965917,2025-12-15 16:08:04,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4532
SHIP500-B00-T00019,1765814896.567138,2025-12-15 16:08:16,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4505
SHIP500-B00-T00020,1765814908.7910955,2025-12-15 16:08:28,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4452
SHIP500-B00-T00021,1765814920.9699333,2025-12-15 16:08:40,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4513
SHIP500-B00-T00022,1765814933.195624,2025-12-15 16:08:53,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4449
SHIP500-B00-T00023,1765814945.398774,2025-12-15 16:09:05,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4535
SHIP500-B00-T00024,1765814957.5848875,2025-12-15 16:09:17,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4647
SHIP500-B00-T00025,1765814969.7946844,2025-12-15 16:09:29,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4703
SHIP500-B00-T00026,1765814981.9802337,2025-12-15 16:09:41,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4753
SHIP500-B00-T00027,1765814994.1867418,2025-12-15 16:09:54,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4842
SHIP500-B00-T00028,1765815006.4307437,2025-12-15 16:10:06,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4535
SHIP500-B00-T00029,1765815018.6098638,2025-12-15 16:10:18,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4573
SHIP500-B00-T00030,1765815030.8140547,2025-12-15 16:10:30,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4476
SHIP500-B00-T00031,1765815043.023641,2025-12-15 16:10:43,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4614
SHIP500-B00-T00032,1765815055.231195,2025-12-15 16:10:55,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4745
SHIP500-B00-T00033,1765815067.4286995,2025-12-15 16:11:07,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4404
SHIP500-B00-T00034,1765815079.618633,2025-12-15 16:11:19,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4386
SHIP500-B00-T00035,1765815091.779157,2025-12-15 16:11:31,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4219
SHIP500-B00-T00036,1765815104.0328188,2025-12-15 16:11:44,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4265
SHIP500-B00-T00037,1765815116.2369251,2025-12-15 16:11:56,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4295
SHIP500-B00-T00038,1765815128.4500794,2025-12-15 16:12:08,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.425
SHIP500-B00-T00039,1765815140.6769688,2025-12-15 16:12:20,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.427
SHIP500-B00-T00040,1765815152.870689,2025-12-15 16:12:32,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4174
SHIP500-B00-T00041,1765815165.086023,2025-12-15 16:12:45,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4127
SHIP500-B00-T00042,1765815177.283877,2025-12-15 16:12:57,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4098
SHIP500-B00-T00043,1765815189.4871106,2025-12-15 16:13:09,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4144
SHIP500-B00-T00044,1765815201.684195,2025-12-15 16:13:21,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4174
SHIP500-B00-T00045,1765815213.873436,2025-12-15 16:13:33,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4132
SHIP500-B00-T00046,1765815226.069084,2025-12-15 16:13:46,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4069
SHIP500-B00-T00047,1765815238.272433,2025-12-15 16:13:58,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4064
SHIP500-B00-T00048,1765815250.482101,2025-12-15 16:14:10,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4059
SHIP500-B00-T00049,1765815262.677696,2025-12-15 16:14:22,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.3997
SHIP500-B00-T00050,1765815274.8533645,2025-12-15 16:14:34,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4044
SHIP500-B00-T00051,1765815287.1137848,2025-12-15 16:14:47,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.3959
SHIP500-B00-T00052,1765815299.3172812,2025-12-15 16:14:59,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.394
SHIP500-B00-T00053,1765815311.5108411,2025-12-15 16:15:11,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.397
SHIP500-B00-T00054,1765815323.6917984,2025-12-15 16:15:23,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.3994
SHIP500-B00-T00055,1765815335.9102752,2025-12-15 16:15:35,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4064
SHIP500-B00-T00056,1765815348.122564,2025-12-15 16:15:48,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4025
SHIP500-B00-T00057,1765815360.3237524,2025-12-15 16:16:00,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4035
SHIP500-B00-T00058,1765815372.527818,2025-12-15 16:16:12,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4164
SHIP500-B00-T00059,1765815384.7148552,2025-12-15 16:16:24,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4105
SHIP500-B00-T00060,1765815396.9338837,2025-12-15 16:16:36,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4159
SHIP500-B00-T00061,1765815409.126479,2025-12-15 16:16:49,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4115
SHIP500-B00-T00062,1765815421.3335476,2025-12-15 16:17:01,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4142
SHIP500-B00-T00063,1765815433.5488594,2025-12-15 16:17:13,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4295
SHIP500-B00-T00064,1765815445.773719,2025-12-15 16:17:25,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4204
SHIP500-B00-T00065,1765815457.9771547,2025-12-15 16:17:37,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4169
SHIP500-B00-T00066,1765815470.181821,2025-12-15 16:17:50,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4219
SHIP500-B00-T00067,1765815482.400705,2025-12-15 16:18:02,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4229
SHIP500-B00-T00068,1765815494.60301,2025-12-15 16:18:14,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4232
SHIP500-B00-T00069,1765815506.8224964,2025-12-15 16:18:26,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4252
SHIP500-B00-T00070,1765815519.0276744,2025-12-15 16:18:39,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.425
SHIP500-B00-T00071,1765815531.2639945,2025-12-15 16:18:51,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4306
SHIP500-B00-T00072,1765815543.4745786,2025-12-15 16:19:03,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4303
SHIP500-B00-T00073,1765815555.6707923,2025-12-15 16:19:15,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4331
SHIP500-B00-T00074,1765815567.8928945,2025-12-15 16:19:27,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4375
SHIP500-B00-T00075,1765815580.0983405,2025-12-15 16:19:40,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.442
SHIP500-B00-T00076,1765815592.2900088,2025-12-15 16:19:52,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4431
SHIP500-B00-T00077,1765815604.5066512,2025-12-15 16:20:04,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4686
SHIP500-B00-T00078,1765815616.70966,2025-12-15 16:20:16,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4399
SHIP500-B00-T00079,1765815628.9149268,2025-12-15 16:20:28,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4313
SHIP500-B00-T00080,1765815641.1225257,2025-12-15 16:20:41,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4394
SHIP500-B00-T00081,1765815653.3281643,2025-12-15 16:20:53,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4399
SHIP500-B00-T00082,1765815665.5580332,2025-12-15 16:21:05,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4452
SHIP500-B00-T00083,1765815677.7554846,2025-12-15 16:21:17,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4316
SHIP500-B00-T00084,1765815689.958026,2025-12-15 16:21:29,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,maintenance|维保智能体,SK-DIAG-F06;SK-ACT-MAINT-PLAN,发电机综合故障诊断+维护计划编排技能,发电机;generator;综合报警,0.455,0.4199
SHIP500-B00-T00085,1765815702.1632955,2025-12-15 16:21:42,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4189
SHIP500-B00-T00086,1765815714.363002,2025-12-15 16:21:54,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4137
SHIP500-B00-T00087,1765815726.571201,2025-12-15 16:22:06,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4105
SHIP500-B00-T00088,1765815738.75959,2025-12-15 16:22:18,train,0,2 active fault alarms,F06 发电机综合故障;F11 通讯/传感器故障,F06,crew|船员智能体,SK-DIAG-F06;SK-ACT-CREW-OPS,发电机综合故障诊断+机舱巡查与就地处置技能,发电机;generator;综合报警,0.545,0.4081
